estado;codigo_ibge;municipio;quantidade;fonte/filtro
AC;1200401;Rio Branco;15339;Ano 2014
AC;1200203;Cruzeiro do Sul;2621;Ano 2014
AC;1200500;Sena Madureira;922;Ano 2014
AC;1200104;Brasiléia;756;Ano 2014
AC;1200302;Feijó;655;Ano 2014
AC;1200609;Tarauacá;652;Ano 2014
AC;1200450;Senador Guiomard;608;Ano 2014
AC;1200252;Epitaciolândia;479;Ano 2014
AC;1200708;Xapuri;283;Ano 2014
AC;1200385;Plácido de Castro;283;Ano 2014
AC;1200807;Porto Acre;225;Ano 2014
AC;1200013;Acrelândia;218;Ano 2014
AC;1200179;Capixaba;215;Ano 2014
AC;1200336;Mâncio Lima;201;Ano 2014
AC;1200344;Manoel Urbano;199;Ano 2014
AC;1200054;Assis Brasil;159;Ano 2014
AC;1200138;Bujari;142;Ano 2014
AC;1200393;Porto Walter;130;Ano 2014
AC;1200427;Rodrigues Alves;114;Ano 2014
AC;1200351;Marechal Thaumaturgo;107;Ano 2014
AC;1200435;Santa Rosa do Purus;66;Ano 2014
AC;1200328;Jordão;62;Ano 2014
AL;2704302;Maceió;46917;Ano 2014
AL;2700300;Arapiraca;9252;Ano 2014
AL;2707701;Rio Largo;2736;Ano 2014
AL;2706703;Penedo;2448;Ano 2014
AL;2706307;Palmeira dos Índios;2030;Ano 2014
AL;2709301;União dos Palmares;2019;Ano 2014
AL;2704708;Marechal Deodoro;1842;Ano 2014
AL;2708600;São Miguel dos Campos;1797;Ano 2014
AL;2702405;Delmiro Gouveia;1604;Ano 2014
AL;2702306;Coruripe;1577;Ano 2014
AL;2708006;Santana do Ipanema;1103;Ano 2014
AL;2706901;Pilar;981;Ano 2014
AL;2709152;Teotônio Vilela;967;Ano 2014
AL;2700409;Atalaia;869;Ano 2014
AL;2704500;Maragogi;869;Ano 2014
AL;2705507;Murici;823;Ano 2014
AL;2701407;Campo Alegre;732;Ano 2014
AL;2709400;Viçosa;726;Ano 2014
AL;2707305;Porto Calvo;724;Ano 2014
AL;2701001;Boca da Mata;629;Ano 2014
AL;2708501;São Luís do Quitunde;623;Ano 2014
AL;2705705;Olho D'água das Flores;622;Ano 2014
AL;2707107;Piranhas;615;Ano 2014
AL;2705101;Matriz de Camaragibe;594;Ano 2014
AL;2701308;Cajueiro;556;Ano 2014
AL;2708808;São Sebastião;538;Ano 2014
AL;2706448;Paripueira;487;Ano 2014
AL;2701704;Capela;469;Ano 2014
AL;2704005;Junqueiro;469;Ano 2014
AL;2708303;São José da Laje;460;Ano 2014
AL;2702900;Girau do Ponciano;411;Ano 2014
AL;2705200;Messias;408;Ano 2014
AL;2706406;Pão de Açúcar;403;Ano 2014
AL;2704807;Maribondo;391;Ano 2014
AL;2708907;Satuba;389;Ano 2014
AL;2700508;Barra de Santo Antônio;363;Ano 2014
AL;2700706;Batalha;336;Ano 2014
AL;2708402;São José da Tapera;328;Ano 2014
AL;2702108;Colônia Leopoldina;327;Ano 2014
AL;2706505;Passo de Camaragibe;317;Ano 2014
AL;2700607;Barra de São Miguel;315;Ano 2014
AL;2704401;Major Isidoro;308;Ano 2014
AL;2709103;Taquarana;304;Ano 2014
AL;2703007;Ibateguara;297;Ano 2014
AL;2706802;Piaçabuçu;288;Ano 2014
AL;2703205;Igreja Nova;284;Ano 2014
AL;2703809;Joaquim Gomes;281;Ano 2014
AL;2708709;São Miguel dos Milagres;276;Ano 2014
AL;2702355;Craíbas;276;Ano 2014
AL;2708105;Santana do Mundaú;270;Ano 2014
AL;2703106;Igaci;258;Ano 2014
AL;2700201;Anadia;249;Ano 2014
AL;2704203;Limoeiro de Anadia;248;Ano 2014
AL;2707602;Quebrangulo;244;Ano 2014
AL;2703759;Jequiá da Praia;239;Ano 2014
AL;2705002;Mata Grande;227;Ano 2014
AL;2707503;Porto Real do Colégio;225;Ano 2014
AL;2704104;Lagoa da Canoa;224;Ano 2014
AL;2701100;Branquinha;215;Ano 2014
AL;2703601;Japaratinga;213;Ano 2014
AL;2706109;Ouro Branco;212;Ano 2014
AL;2700102;Água Branca;190;Ano 2014
AL;2702603;Feira Grande;190;Ano 2014
AL;2709202;Traipu;186;Ano 2014
AL;2705606;Novo Lino;183;Ano 2014
AL;2703304;Inhapi;176;Ano 2014
AL;2707909;Santa Luzia do Norte;166;Ano 2014
AL;2707404;Porto de Pedras;162;Ano 2014
AL;2702504;Dois Riachos;144;Ano 2014
AL;2706604;Paulo Jacinto;141;Ano 2014
AL;2701209;Cacimbinhas;139;Ano 2014
AL;2705804;Olho D'água do Casado;139;Ano 2014
AL;2702801;Flexeiras;130;Ano 2014
AL;2704609;Maravilha;128;Ano 2014
AL;2701357;Campestre;125;Ano 2014
AL;2702553;Estrela de Alagoas;124;Ano 2014
AL;2702009;Coité do Nóia;123;Ano 2014
AL;2702702;Feliz Deserto;122;Ano 2014
AL;2707800;Roteiro;121;Ano 2014
AL;2701605;Canapi;115;Ano 2014
AL;2701506;Campo Grande;114;Ano 2014
AL;2706422;Pariconha;107;Ano 2014
AL;2706000;Olivença;106;Ano 2014
AL;2703908;Jundiá;102;Ano 2014
AL;2702207;Coqueiro Seco;93;Ano 2014
AL;2708956;Senador Rui Palmeira;93;Ano 2014
AL;2707206;Poço das Trincheiras;92;Ano 2014
AL;2705408;Monteirópolis;90;Ano 2014
AL;2703502;Jacuípe;90;Ano 2014
AL;2701902;Chã Preta;76;Ano 2014
AL;2704906;Mar Vermelho;73;Ano 2014
AL;2703403;Jacaré dos Homens;73;Ano 2014
AL;2701803;Carneiros;70;Ano 2014
AL;2709004;Tanque D'arca;61;Ano 2014
AL;2703700;Jaramataia;61;Ano 2014
AL;2700904;Belo Monte;59;Ano 2014
AL;2708204;São Brás;56;Ano 2014
AL;2706208;Palestina;56;Ano 2014
AL;2705309;Minador do Negrão;52;Ano 2014
AL;2700805;Belém;49;Ano 2014
AL;2705903;Olho D'água Grande;24;Ano 2014
AL;2707008;Pindoba;22;Ano 2014
AM;1302603;Manaus;60089;Ano 2014
AM;1303403;Parintins;2649;Ano 2014
AM;1301902;Itacoatiara;2506;Ano 2014
AM;1302504;Manacapuru;2121;Ano 2014
AM;1301704;Humaitá;1714;Ano 2014
AM;1302900;Maués;1451;Ano 2014
AM;1301209;Coari;1416;Ano 2014
AM;1304203;Tefé;1281;Ano 2014
AM;1300706;Boca do Acre;1246;Ano 2014
AM;1303536;Presidente Figueiredo;1089;Ano 2014
AM;1304062;Tabatinga;1035;Ano 2014
AM;1301852;Iranduba;1030;Ano 2014
AM;1303809;São Gabriel da Cachoeira;820;Ano 2014
AM;1300300;Autazes;789;Ano 2014
AM;1302702;Manicoré;739;Ano 2014
AM;1303502;Pauini;730;Ano 2014
AM;1302405;Lábrea;595;Ano 2014
AM;1303304;Novo Aripuanã;561;Ano 2014
AM;1303106;Nova Olinda do Norte;518;Ano 2014
AM;1303205;Novo Airão;515;Ano 2014
AM;1301001;Carauari;476;Ano 2014
AM;1300607;Benjamin Constant;459;Ano 2014
AM;1304302;Urucará;455;Ano 2014
AM;1302553;Manaquiri;454;Ano 2014
AM;1300144;Apuí;450;Ano 2014
AM;1300409;Barcelos;441;Ano 2014
AM;1301100;Careiro;435;Ano 2014
AM;1301407;Eirunepé;429;Ano 2014
AM;1303569;Rio Preto da Eva;429;Ano 2014
AM;1301159;Careiro da Várzea;373;Ano 2014
AM;1300805;Borba;328;Ano 2014
AM;1303601;Santa Isabel do Rio Negro;317;Ano 2014
AM;1301308;Codajás;295;Ano 2014
AM;1304005;Silves;285;Ano 2014
AM;1300508;Barreirinha;279;Ano 2014
AM;1303700;Santo Antônio do Içá;276;Ano 2014
AM;1304401;Urucurituba;262;Ano 2014
AM;1301506;Envira;240;Ano 2014
AM;1303908;São Paulo de Olivença;230;Ano 2014
AM;1301605;Fonte Boa;229;Ano 2014
AM;1303007;Nhamundá;223;Ano 2014
AM;1300680;Boa Vista do Ramos;223;Ano 2014
AM;1302009;Itapiranga;217;Ano 2014
AM;1300631;Beruri;207;Ano 2014
AM;1304237;Tonantins;185;Ano 2014
AM;1303957;São Sebastião do Uatumã;143;Ano 2014
AM;1302306;Jutaí;142;Ano 2014
AM;1300029;Alvarães;132;Ano 2014
AM;1300839;Caapiranga;132;Ano 2014
AM;1301803;Ipixuna;130;Ano 2014
AM;1304260;Uarini;125;Ano 2014
AM;1302207;Juruá;123;Ano 2014
AM;1300201;Atalaia do Norte;122;Ano 2014
AM;1300102;Anori;121;Ano 2014
AM;1300904;Canutama;113;Ano 2014
AM;1301654;Guajará;98;Ano 2014
AM;1300086;Anamã;96;Ano 2014
AM;1300060;Amaturá;90;Ano 2014
AM;1301951;Itamarati;80;Ano 2014
AM;1302801;Maraã;79;Ano 2014
AM;1304104;Tapauá;75;Ano 2014
AM;1302108;Japurá;49;Ano 2014
AP;1600303;Macapá;14970;Ano 2014
AP;1600600;Santana;2832;Ano 2014
AP;1600279;Laranjal do Jari;1016;Ano 2014
AP;1600501;Oiapoque;881;Ano 2014
AP;1600535;Porto Grande;417;Ano 2014
AP;1600154;Pedra Branca do Amapari;262;Ano 2014
AP;1600808;Vitória do Jari;214;Ano 2014
AP;1600402;Mazagão;185;Ano 2014
AP;1600204;Calçoene;182;Ano 2014
AP;1600238;Ferreira Gomes;156;Ano 2014
AP;1600709;Tartarugalzinho;149;Ano 2014
AP;1600105;Amapá;137;Ano 2014
AP;1600055;Serra do Navio;123;Ano 2014
AP;1600212;Cutias;47;Ano 2014
AP;1600253;Itaubal;32;Ano 2014
AP;1600550;Pracuúba;30;Ano 2014
BA;2927408;Salvador;164333;Ano 2014
BA;2910800;Feira de Santana;35312;Ano 2014
BA;2933307;Vitória da Conquista;18455;Ano 2014
BA;2919207;Lauro de Freitas;16547;Ano 2014
BA;2905701;Camaçari;13087;Ano 2014
BA;2914802;Itabuna;11316;Ano 2014
BA;2913606;Ilhéus;9812;Ano 2014
BA;2931350;Teixeira de Freitas;8935;Ano 2014
BA;2918407;Juazeiro;8262;Ano 2014
BA;2925303;Porto Seguro;7993;Ano 2014
BA;2903201;Barreiras;7762;Ano 2014
BA;2919553;Luís Eduardo Magalhães;7020;Ano 2014
BA;2918001;Jequié;6989;Ano 2014
BA;2930709;Simões Filho;6480;Ano 2014
BA;2900702;Alagoinhas;5926;Ano 2014
BA;2928703;Santo Antônio de Jesus;5763;Ano 2014
BA;2910727;Eunápolis;4771;Ano 2014
BA;2924009;Paulo Afonso;4245;Ano 2014
BA;2911709;Guanambi;4226;Ano 2014
BA;2917508;Jacobina;3779;Ano 2014
BA;2914604;Irecê;3517;Ano 2014
BA;2932903;Valença;3441;Ano 2014
BA;2930105;Senhor do Bonfim;3355;Ano 2014
BA;2916401;Itapetinga;3221;Ano 2014
BA;2910057;Dias D'ávila;3192;Ano 2014
BA;2904605;Brumado;3111;Ano 2014
BA;2909802;Cruz das Almas;2944;Ano 2014
BA;2930501;Serrinha;2816;Ano 2014
BA;2906501;Candeias;2775;Ano 2014
BA;2915601;Itamaraju;2636;Ano 2014
BA;2908408;Conceição do Coité;2411;Ano 2014
BA;2914703;Itaberaba;2385;Ano 2014
BA;2913903;Ipiaú;2273;Ano 2014
BA;2921005;Mata de São João;2147;Ano 2014
BA;2908507;Conceição do Jacuípe;1979;Ano 2014
BA;2922003;Mucuri;1930;Ano 2014
BA;2903904;Bom Jesus da Lapa;1918;Ano 2014
BA;2907509;Catu;1720;Ano 2014
BA;2923001;Nova Viçosa;1680;Ano 2014
BA;2917607;Jaguaquara;1647;Ano 2014
BA;2905206;Caetité;1635;Ano 2014
BA;2919504;Livramento de Nossa Senhora;1571;Ano 2014
BA;2906006;Campo Formoso;1566;Ano 2014
BA;2926608;Ribeira do Pombal;1560;Ano 2014
BA;2928604;Santo Amaro;1541;Ano 2014
BA;2929909;Seabra;1517;Ano 2014
BA;2910701;Euclides da Cunha;1508;Ano 2014
BA;2925105;Poções;1483;Ano 2014
BA;2914000;Ipirá;1467;Ano 2014
BA;2933208;Vera Cruz;1464;Ano 2014
BA;2926301;Riachão do Jacuípe;1384;Ano 2014
BA;2906873;Capim Grosso;1376;Ano 2014
BA;2931905;Tucano;1296;Ano 2014
BA;2910503;Entre Rios;1291;Ano 2014
BA;2928802;Santo Estêvão;1288;Ano 2014
BA;2925204;Pojuca;1279;Ano 2014
BA;2911204;Gandu;1263;Ano 2014
BA;2929503;São Sebastião do Passé;1257;Ano 2014
BA;2914901;Itacaré;1250;Ano 2014
BA;2926004;Remanso;1239;Ano 2014
BA;2906303;Canavieiras;1170;Ano 2014
BA;2927705;Santa Cruz Cabrália;1163;Ano 2014
BA;2901007;Amargosa;1132;Ano 2014
BA;2925501;Prado;1132;Ano 2014
BA;2928109;Santa Maria da Vitória;1112;Ano 2014
BA;2905404;Cairu;1098;Ano 2014
BA;2917300;Ituberá;1053;Ano 2014
BA;2928000;Santaluz;1031;Ano 2014
BA;2933604;Xique-Xique;1029;Ano 2014
BA;2905602;Camacan;1010;Ano 2014
BA;2905800;Camamu;1001;Ano 2014
BA;2913200;Ibotirama;995;Ano 2014
BA;2905008;Caculé;989;Ano 2014
BA;2914653;Itabela;987;Ano 2014
BA;2932200;Ubaitaba;982;Ano 2014
BA;2921203;Miguel Calmon;959;Ano 2014
BA;2902906;Barra do Choça;954;Ano 2014
BA;2902708;Barra;949;Ano 2014
BA;2929305;São Gonçalo dos Campos;942;Ano 2014
BA;2917706;Jaguarari;937;Ano 2014
BA;2912103;Ibicaraí;911;Ano 2014
BA;2929206;São Francisco do Conde;907;Ano 2014
BA;2910602;Esplanada;903;Ano 2014
BA;2920601;Maragogipe;894;Ano 2014
BA;2907806;Cícero Dantas;882;Ano 2014
BA;2907202;Casa Nova;869;Ano 2014
BA;2921708;Morro do Chapéu;865;Ano 2014
BA;2918100;Jeremoabo;843;Ano 2014
BA;2902104;Araci;839;Ano 2014
BA;2922508;Nazaré;820;Ano 2014
BA;2927002;Rio Real;819;Ano 2014
BA;2919926;Madre de Deus;812;Ano 2014
BA;2920502;Maracás;807;Ano 2014
BA;2904902;Cachoeira;797;Ano 2014
BA;2909307;Correntina;788;Ano 2014
BA;2933000;Valente;773;Ano 2014
BA;2913705;Inhambupe;770;Ano 2014
BA;2919801;Macaúbas;768;Ano 2014
BA;2915809;Itambé;763;Ano 2014
BA;2917003;Itiúba;755;Ano 2014
BA;2929107;São Felipe;749;Ano 2014
BA;2928901;São Desidério;738;Ano 2014
BA;2921104;Medeiros Neto;733;Ano 2014
BA;2902807;Barra da Estiva;725;Ano 2014
BA;2908002;Coaraci;716;Ano 2014
BA;2901106;Amélia Rodrigues;713;Ano 2014
BA;2932705;Uruçuca;683;Ano 2014
BA;2932002;Uauá;673;Ano 2014
BA;2907301;Castro Alves;673;Ano 2014
BA;2922300;Muritiba;672;Ano 2014
BA;2900801;Alcobaça;666;Ano 2014
BA;2927200;Ruy Barbosa;666;Ano 2014
BA;2932507;Una;662;Ano 2014
BA;2908200;Conceição da Feira;657;Ano 2014
BA;2916005;Itanhém;649;Ano 2014
BA;2925758;Presidente Tancredo Neves;648;Ano 2014
BA;2915502;Itajuípe;637;Ano 2014
BA;2906709;Cândido Sales;630;Ano 2014
BA;2920700;Maraú;626;Ano 2014
BA;2914505;Irará;618;Ano 2014
BA;2911105;Formosa do Rio Preto;614;Ano 2014
BA;2911907;Iaçu;614;Ano 2014
BA;2923605;Paramirim;611;Ano 2014
BA;2930774;Sobradinho;610;Ano 2014
BA;2906808;Cansanção;605;Ano 2014
BA;2917102;Itororó;595;Ano 2014
BA;2922409;Mutuípe;590;Ano 2014
BA;2906907;Caravelas;585;Ano 2014
BA;2912905;Ibirataia;582;Ano 2014
BA;2925808;Queimadas;570;Ano 2014
BA;2932309;Ubatã;563;Ano 2014
BA;2925006;Planalto;557;Ano 2014
BA;2919306;Lençóis;557;Ano 2014
BA;2921500;Monte Santo;557;Ano 2014
BA;2930154;Serra do Ramalho;547;Ano 2014
BA;2916104;Itaparica;544;Ano 2014
BA;2903409;Belmonte;543;Ano 2014
BA;2904704;Buerarema;540;Ano 2014
BA;2907103;Carinhanha;534;Ano 2014
BA;2905909;Campo Alegre de Lourdes;534;Ano 2014
BA;2916807;Itarantim;526;Ano 2014
BA;2913507;Iguaí;525;Ano 2014
BA;2923803;Paripiranga;524;Ano 2014
BA;2931004;Tanhaçu;517;Ano 2014
BA;2908903;Coração de Maria;516;Ano 2014
BA;2928208;Santana;516;Ano 2014
BA;2911600;Governador Mangabeira;510;Ano 2014
BA;2924405;Pilão Arcado;508;Ano 2014
BA;2912202;Ibicoara;501;Ano 2014
BA;2922904;Nova Soure;499;Ano 2014
BA;2926400;Riacho de Santana;487;Ano 2014
BA;2924801;Piritiba;484;Ano 2014
BA;2922102;Mundo Novo;484;Ano 2014
BA;2923357;Ourolândia;476;Ano 2014
BA;2909901;Curaçá;475;Ano 2014
BA;2929602;Sapeaçu;464;Ano 2014
BA;2932804;Utinga;460;Ano 2014
BA;2908606;Conde;453;Ano 2014
BA;2929057;São Félix do Coribe;449;Ano 2014
BA;2923209;Oliveira dos Brejinhos;440;Ano 2014
BA;2907905;Cipó;439;Ano 2014
BA;2930204;Sento Sé;439;Ano 2014
BA;2923407;Palmas de Monte Alto;438;Ano 2014
BA;2917201;Ituaçu;435;Ano 2014
BA;2923100;Olindina;433;Ano 2014
BA;2915205;Itagibá;433;Ano 2014
BA;2928406;Santa Rita de Cássia;430;Ano 2014
BA;2908705;Condeúba;428;Ano 2014
BA;2920106;Mairi;427;Ano 2014
BA;2932101;Ubaíra;420;Ano 2014
BA;2916856;Itatim;419;Ano 2014
BA;2930600;Serrolândia;418;Ano 2014
BA;2916906;Itiruçu;418;Ano 2014
BA;2933505;Wenceslau Guimarães;408;Ano 2014
BA;2912707;Ibirapitanga;406;Ano 2014
BA;2918357;João Dourado;394;Ano 2014
BA;2919702;Macarani;393;Ano 2014
BA;2927507;Santa Bárbara;390;Ano 2014
BA;2902609;Baixa Grande;388;Ano 2014
BA;2919157;Lapão;387;Ano 2014
BA;2912301;Ibicuí;386;Ano 2014
BA;2918803;Laje;384;Ano 2014
BA;2910404;Encruzilhada;382;Ano 2014
BA;2929750;Saubara;379;Ano 2014
BA;2908309;Conceição do Almeida;370;Ano 2014
BA;2906204;Canarana;370;Ano 2014
BA;2932606;Urandi;367;Ano 2014
BA;2918308;Jitaúna;358;Ano 2014
BA;2911808;Guaratinga;355;Ano 2014
BA;2904100;Boquira;351;Ano 2014
BA;2926103;Retirolândia;348;Ano 2014
BA;2923704;Paratinga;343;Ano 2014
BA;2931202;Taperoá;341;Ano 2014
BA;2931509;Teofilândia;339;Ano 2014
BA;2923506;Palmeiras;335;Ano 2014
BA;2924306;Piatã;330;Ano 2014
BA;2927309;Salinas da Margarida;329;Ano 2014
BA;2925253;Ponto Novo;329;Ano 2014
BA;2924058;Pé de Serra;327;Ano 2014
BA;2919405;Licínio de Almeida;324;Ano 2014
BA;2902401;Aurelino Leal;321;Ano 2014
BA;2924603;Pindobaçu;319;Ano 2014
BA;2931053;Tanque Novo;319;Ano 2014
BA;2914406;Iraquara;314;Ano 2014
BA;2926707;Rio de Contas;313;Ano 2014
BA;2916500;Itapicuru;313;Ano 2014
BA;2910859;Filadélfia;313;Ano 2014
BA;2908101;Cocos;312;Ano 2014
BA;2901205;Anagé;310;Ano 2014
BA;2904308;Brejões;308;Ano 2014
BA;2901304;Andaraí;308;Ano 2014
BA;2925907;Quijingue;299;Ano 2014
BA;2929800;Saúde;299;Ano 2014
BA;2903508;Belo Campo;298;Ano 2014
BA;2931301;Tapiramutá;295;Ano 2014
BA;2900306;Acajutiba;289;Ano 2014
BA;2921906;Mucugê;286;Ano 2014
BA;2922706;Nova Canaã;286;Ano 2014
BA;2901353;Andorinha;284;Ano 2014
BA;2903276;Barrocas;280;Ano 2014
BA;2900207;Abaré;279;Ano 2014
BA;2930402;Serra Preta;278;Ano 2014
BA;2905305;Cafarnaum;275;Ano 2014
BA;2910107;Dom Basílio;275;Ano 2014
BA;2913457;Igrapiúna;274;Ano 2014
BA;2904050;Bonito;273;Ano 2014
BA;2933158;Várzea Nova;270;Ano 2014
BA;2922730;Nova Fátima;269;Ano 2014
BA;2915106;Itagi;269;Ano 2014
BA;2909604;Crisópolis;261;Ano 2014
BA;2931707;Terra Nova;258;Ano 2014
BA;2920908;Mascote;258;Ano 2014
BA;2906824;Canudos;257;Ano 2014
BA;2910008;Dário Meira;257;Ano 2014
BA;2918209;Jiquiriçá;256;Ano 2014
BA;2902054;Araças;255;Ano 2014
BA;2930303;Serra Dourada;254;Ano 2014
BA;2910750;Fátima;253;Ano 2014
BA;2929701;Sátiro Dias;252;Ano 2014
BA;2906600;Candiba;250;Ano 2014
BA;2912509;Ibipitanga;250;Ano 2014
BA;2903706;Boa Nova;248;Ano 2014
BA;2931608;Teolândia;247;Ano 2014
BA;2921807;Mortugaba;247;Ano 2014
BA;2913408;Igaporã;246;Ano 2014
BA;2912004;Ibiassucê;246;Ano 2014
BA;2923902;Pau Brasil;245;Ano 2014
BA;2906857;Capela do Alto Alegre;245;Ano 2014
BA;2916203;Itapé;245;Ano 2014
BA;2926202;Riachão das Neves;244;Ano 2014
BA;2927903;Santa Inês;242;Ano 2014
BA;2929255;São Gabriel;240;Ano 2014
BA;2931400;Teodoro Sampaio;240;Ano 2014
BA;2921302;Milagres;236;Ano 2014
BA;2920007;Maiquinique;236;Ano 2014
BA;2926806;Rio do Antônio;233;Ano 2014
BA;2903003;Barra do Mendes;231;Ano 2014
BA;2912806;Ibirapuã;231;Ano 2014
BA;2933059;Várzea da Roça;231;Ano 2014
BA;2925402;Potiraguá;230;Ano 2014
BA;2915007;Itaeté;229;Ano 2014
BA;2916302;Itapebi;229;Ano 2014
BA;2928059;Santa Luzia;228;Ano 2014
BA;2931806;Tremedal;227;Ano 2014
BA;2920403;Manoel Vitorino;226;Ano 2014
BA;2933109;Várzea do Poço;224;Ano 2014
BA;2933455;Wanderley;224;Ano 2014
BA;2900405;Água Fria;223;Ano 2014
BA;2927606;Santa Brígida;223;Ano 2014
BA;2930808;Souto Soares;220;Ano 2014
BA;2901908;Aporá;220;Ano 2014
BA;2931103;Tanquinho;219;Ano 2014
BA;2911006;Floresta Azul;217;Ano 2014
BA;2928950;São Domingos;217;Ano 2014
BA;2924652;Pintadas;217;Ano 2014
BA;2904852;Cabaceiras do Paraguaçu;216;Ano 2014
BA;2903805;Boa Vista do Tupim;213;Ano 2014
BA;2919058;Lajedo do Tabocal;210;Ano 2014
BA;2904001;Boninal;210;Ano 2014
BA;2901403;Angical;209;Ano 2014
BA;2920205;Malhada;209;Ano 2014
BA;2932408;Uibaí;207;Ano 2014
BA;2915304;Itagimirim;206;Ano 2014
BA;2914109;Ipupiara;204;Ano 2014
BA;2904506;Brotas de Macaúbas;202;Ano 2014
BA;2901601;Antas;202;Ano 2014
BA;2905503;Caldeirão Grande;199;Ano 2014
BA;2907608;Central;199;Ano 2014
BA;2926905;Rio do Pires;197;Ano 2014
BA;2918506;Jussara;196;Ano 2014
BA;2913002;Ibitiara;195;Ano 2014
BA;2922607;Nilo Peçanha;194;Ano 2014
BA;2921401;Mirangaba;192;Ano 2014
BA;2925956;Rafael Jambeiro;190;Ano 2014
BA;2927101;Rodelas;189;Ano 2014
BA;2902005;Aracatu;188;Ano 2014
BA;2912400;Ibipeba;187;Ano 2014
BA;2911857;Heliópolis;185;Ano 2014
BA;2909703;Cristópolis;183;Ano 2014
BA;2925600;Presidente Dutra;183;Ano 2014
BA;2909109;Coribe;180;Ano 2014
BA;2907004;Cardeal da Silva;180;Ano 2014
BA;2917409;Jacaraci;179;Ano 2014
BA;2929404;São Miguel das Matas;178;Ano 2014
BA;2913101;Ibititá;177;Ano 2014
BA;2902500;Baianópolis;176;Ano 2014
BA;2924702;Piripá;176;Ano 2014
BA;2903607;Biritinga;176;Ano 2014
BA;2904753;Buritirama;175;Ano 2014
BA;2922656;Nordestina;175;Ano 2014
BA;2915403;Itaju do Colônia;174;Ano 2014
BA;2924504;Pindaí;174;Ano 2014
BA;2917334;Iuiú;173;Ano 2014
BA;2929008;São Félix;173;Ano 2014
BA;2909208;Coronel João Sá;173;Ano 2014
BA;2914307;Iramaia;169;Ano 2014
BA;2904209;Botuporã;167;Ano 2014
BA;2900108;Abaíra;165;Ano 2014
BA;2933406;Wagner;165;Ano 2014
BA;2929370;São José do Jacuípe;165;Ano 2014
BA;2916609;Itapitanga;164;Ano 2014
BA;2920304;Malhada de Pedras;164;Ano 2014
BA;2933174;Varzedo;163;Ano 2014
BA;2909406;Cotegipe;163;Ano 2014
BA;2919603;Macajuba;162;Ano 2014
BA;2901809;Antônio Gonçalves;162;Ano 2014
BA;2917904;Jandaíra;162;Ano 2014
BA;2906899;Caraíbas;162;Ano 2014
BA;2902252;Arataca;161;Ano 2014
BA;2922052;Mulungu do Morro;161;Ano 2014
BA;2930766;Sítio do Quinto;161;Ano 2014
BA;2911501;Gongogi;160;Ano 2014
BA;2923035;Novo Horizonte;159;Ano 2014
BA;2902658;Banzaê;157;Ano 2014
BA;2913309;Ichu;157;Ano 2014
BA;2901957;Apuarema;155;Ano 2014
BA;2900355;Adustina;155;Ano 2014
BA;2911402;Glória;151;Ano 2014
BA;2901155;América Dourada;150;Ano 2014
BA;2910305;Elísio Medrado;149;Ano 2014
BA;2915700;Itamari;148;Ano 2014
BA;2902203;Aramari;148;Ano 2014
BA;2906402;Candeal;147;Ano 2014
BA;2917359;Jaborandi;147;Ano 2014
BA;2905107;Caém;147;Ano 2014
BA;2903235;Barro Alto;146;Ano 2014
BA;2904803;Caatiba;145;Ano 2014
BA;2925709;Presidente Jânio Quadros;143;Ano 2014
BA;2928505;Santa Teresinha;142;Ano 2014
BA;2930907;Tabocas do Brejo Velho;141;Ano 2014
BA;2923308;Ouriçangas;140;Ano 2014
BA;2915353;Itaguaçu da Bahia;140;Ano 2014
BA;2917805;Jaguaripe;138;Ano 2014
BA;2929354;São José da Vitória;136;Ano 2014
BA;2903300;Barro Preto;135;Ano 2014
BA;2920809;Marcionílio Souza;135;Ano 2014
BA;2918753;Lagoa Real;134;Ano 2014
BA;2923050;Novo Triunfo;133;Ano 2014
BA;2909505;Cravolândia;130;Ano 2014
BA;2922854;Nova Redenção;130;Ano 2014
BA;2924678;Piraí do Norte;129;Ano 2014
BA;2925931;Quixabeira;129;Ano 2014
BA;2918605;Jussiape;128;Ano 2014
BA;2932457;Umburanas;127;Ano 2014
BA;2927804;Santa Cruz da Vitória;126;Ano 2014
BA;2902302;Aratuípe;125;Ano 2014
BA;2919959;Maetinga;125;Ano 2014
BA;2903953;Bom Jesus da Serra;124;Ano 2014
BA;2905156;Caetanos;124;Ano 2014
BA;2918902;Lajedão;122;Ano 2014
BA;2930006;Sebastião Laranjeiras;121;Ano 2014
BA;2910909;Firmino Alves;121;Ano 2014
BA;2933257;Vereda;121;Ano 2014
BA;2909000;Cordeiros;120;Ano 2014
BA;2900900;Almadina;119;Ano 2014
BA;2903102;Barra do Rocha;118;Ano 2014
BA;2906105;Canápolis;118;Ano 2014
BA;2924207;Pedro Alexandre;118;Ano 2014
BA;2916708;Itaquara;117;Ano 2014
BA;2926509;Ribeira do Amparo;116;Ano 2014
BA;2924900;Planaltino;115;Ano 2014
BA;2921054;Matina;115;Ano 2014
BA;2911303;Gentio do Ouro;115;Ano 2014
BA;2918456;Jucuruçu;112;Ano 2014
BA;2922250;Muquém de São Francisco;111;Ano 2014
BA;2921609;Morpará;109;Ano 2014
BA;2918555;Jussari;109;Ano 2014
BA;2922201;Muniz Ferreira;108;Ano 2014
BA;2930758;Sítio do Mato;106;Ano 2014
BA;2907707;Chorrochó;106;Ano 2014
